studentID,score_exam1,score_exam2,num_total_activities,num_exams,num_activity1,num_activity2,num_activity3,num_activity4
818,138,138,3,1,1,1,0,0
819,152,166,48,12,7,4,6,16
820,154,165,50,9,20,6,3,12
821,130,142,20,2,11,1,4,0
822,154,154,2,1,0,0,1,0
823,148,148,3,1,0,0,2,0
824,162,165,174,3,92,5,2,63
825,156,157,301,6,189,7,6,60
826,145,152,34,11,6,8,3,5
827,149,152,25,2,1,8,4,6
828,144,169,244,12,150,3,6,62
829,138,138,5,1,4,0,0,0
830,146,151,76,2,34,7,6,24
831,159,159,23,2,1,6,5,4
832,130,130,3,1,1,1,0,0
833,138,143,27,2,2,5,4,2
834,146,149,38,2,17,5,4,8
835,163,178,122,8,91,8,5,2
836,140,140,1,1,0,0,0,0
837,143,150,150,2,124,1,2,0
838,133,133,8,1,0,4,3,0
839,152,152,17,1,6,2,0,0
840,156,156,112,1,63,4,3,39
841,145,145,3,2,0,1,0,0
842,168,169,32,4,17,2,2,0
843,140,143,94,3,0,5,2,0
844,145,151,27,3,7,8,6,0
845,143,148,44,2,26,4,4,6
846,160,160,16,1,10,1,1,0
847,142,142,3,1,0,1,1,0
848,164,164,6,1,2,2,0,1
849,144,144,22,1,2,8,5,6
850,129,129,13,1,1,5,5,1
851,148,158,32,5,15,7,2,0
852,148,148,31,2,17,3,1,0
853,138,138,25,4,19,1,1,0
854,142,142,7,1,4,1,1,0
855,140,140,84,1,50,1,2,24
856,142,142,17,1,1,3,3,0
857,131,148,49,3,16,6,3,3
858,140,140,5,1,1,1,2,0
859,154,154,41,1,10,9,6,15
860,138,138,170,1,127,6,6,0
861,153,156,35,11,1,3,3,0
862,150,156,21,4,13,3,1,0
863,150,150,48,1,27,0,0,19
864,146,146,4,1,0,2,1,0
865,144,147,22,2,10,5,2,1
866,157,162,64,2,13,1,1,47
867,142,142,17,1,4,7,3,2
868,150,150,52,4,26,9,5,7
869,146,146,121,2,85,7,5,22
870,145,152,19,8,0,6,5,0
871,158,158,40,2,16,6,6,9
872,151,155,25,3,4,8,4,6
873,128,128,4,1,0,2,1,0
874,174,174,57,4,0,2,3,45
